dataset,lines,bytes,tool,trial,wall_s,cpu_s,peak_rss_kb,out_lines,exit,status,sha256
D_example_wb.50000,50000,12983735,xcull,8,0.555,0.555,3460,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,xcull,9,0.506,0.506,3404,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,xcull,10,0.517,0.517,3524,763,0,OK,8dfe5c19b7bd6ee4db9e2810545b9d3207ee2039dd6bd4691c77fcf492b76c2b
D_example_wb.50000,50000,12983735,uro,1,2.016,2.016,17920,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,2,2.088,2.088,17860,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,3,2.228,2.227,17900,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,4,2.199,2.198,17808,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,5,1.969,1.968,17840,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,6,1.978,1.977,17892,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,7,1.963,1.961,17852,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,8,2.051,2.046,17900,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,9,1.966,1.965,18000,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,uro,10,1.965,1.964,17908,821,0,OK,e850b150a061ee76f6376aeafe7c8b6946a1bf814ca53034346cb96b38321145
D_example_wb.50000,50000,12983735,urldedupe,1,0.662,0.661,29564,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,2,0.703,0.702,29648,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,3,0.658,0.657,29628,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,4,0.671,0.670,29580,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,5,0.668,0.668,29632,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,6,0.672,0.672,29472,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,7,0.671,0.670,29632,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,8,0.668,0.668,29540,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,9,0.669,0.667,29560,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urldedupe,10,0.668,0.667,29624,4007,0,OK,d35435210b873cc37cbfa23fdcb543768248586636d33c88a06e2aa993c201a5
D_example_wb.50000,50000,12983735,urless,1,2.297,2.296,30944,871,0,OK,b8a25ad83089d1421e6aaf3c961acaaf85847b38a4e81de2df778d0ca0f73031
